video_name,question_id,question,answer0,answer1,answer2,answer3,type,start-time/s,urgency
00013,v_00013_6,Did I get to the payment screen?,I don't know.,"I can't see clearly, there shouldn't be.","Your screen is completely black, I cannot read any information.","Yes, finally entered the screen with the help of the cashier.",information reading,39,not_urgent
00013,v_00013_7,Is the cashier scanning one of my items?,No.,She is scanning your Alipay payment code.,"No, she is touching your screen.",,information reading,69,urgent
00014,v_00014_1,Is this the cashier counter in front of me?,Yes.,,,,resource acquisition and others,15,not_urgent
00014,v_00014_2,Which way should I go to find the entrance of this building?,Turn right.,,Turn right and go straight.,I don't know.,local navigation and positioning,30.99,not_urgent
00014,v_00014_3,Is the cashier at the counter done bagging my items?,Yes.,,,,information reading,9.99,not_urgent
00014,v_00014_4,What items are in the bag?,I don't know.,All the items you bought.,Two packs of black and one pack of yellow sanitary napkins.,A few packs of sanitary napkins.,information reading,6.99,not_urgent
00014,v_00014_5,Is there any obstacle near the exit of the store?,No.,"There are no obstacles at the stairs, but there are several baskets of oranges next to the stairs.",,"No, but there are fruit stalls and parked vehicles ahead.",information reading,21,urgent
00014,v_00014_6,Is there any vehicle close by in the market area?,Yes.,"Yes, there is a small truck parked in front of you.",There is a truck not far ahead.,,information reading,31.98,urgent
00014,v_00014_7,Are there any scooters or bikes obstructing the sidewalk?,Yes.,,,,information reading,42.99,urgent
00014,v_00014_8,What kind of fruit is displayed on the left?,Oranges.,Sugar orange.,Orange.,,information reading,30.99,not_urgent
00014,v_00014_9,Did the person on the scooter assist me?,No.,"I don't know, there shouldn't be.",There is no person on the scooter.,"No, pedestrians on the side of the road helped me.",communication and interaction,70.22,not_urgent
00014,v_00014_10,Am I facing the entrance of the building?,No.,"No, you are not facing the entrance of the building, the entrance is on your right.",,,resource acquisition and others,91.04,not_urgent
00014,v_00014_11,Which way should I go to avoid these obstacles?,Move to your left to avoid the motorcycle.,"After climbing the stairs, walk a little to the left because there is a motorcycle in front of you.",Move a little to the left.,Follow the passerby's instructions and turn left to avoid the electric vehicle in front.,safety warnings,72.23,urgent
00014,v_00014_12,Are there any obstacles on the ground I need to be aware of?,Yes.,"Yes, there are several motorcycles parked.",There is an electric car parked in the left front.,"Yes, there are many parked electric bikes around.",safety warnings,59.02,urgent
00014,v_00014_13,Is there any vehicle parked ahead of the crosswalk or ahead of me?,Yes.,"Yes, in addition to the motorcycle at the end of the stairs, there is also a tricycle with an iron frame on the right where you and the passerby pass by.",Near the right.,,safety warnings,84.18,urgent
00014,v_00014_14,Is there any vehicular traffic on the road I need to watch out for?,Yes.,"Yes, in addition to the motorcycle at the end of the stairs, there is also a tricycle with an iron frame on the right where you and the passerby pass by.",A car is parked some distance ahead on the left.,,safety warnings,99.14,urgent
00014,v_00014_15,How can I get to the overpass in front of me?,Go forward.,"Go straight, then turn left and there are stairs to the overpass.",Go straight ahead to the left.,Avoid the vehicle in front and turn left to reach the entrance of the overpass.,local navigation and positioning,59.02,urgent
00014,v_00014_16,Are there any obstacles in front of me on the sidewalk?,"Yes, there are several battery carts in front of you.",Yes.,There are three electric vehicles directly ahead.,"Yes, there are parked electric bikes.",information reading,53.25,urgent
00014,v_00014_17,Is it clear for me to walk up the stairs?,Yes.,"Yes, but after climbing the stairs, be careful that there is a motorcycle blocking you.",An electric bike and a tricycle are parked at the top of the stairs.,,information reading,64.22,urgent
00014,v_00014_18,Is there any traffic passing by when I walk past the steps?,No.,,,"No, there are currently no passing vehicles.",information reading,72.18,urgent
00014,v_00014_19,what is on the scooter parked here?,There are some bags and other items hanging on the scooter.,Iron frame.,Two large plastic bottles.,There are two bottles.,information reading,73.02,not_urgent
00014,v_00014_20,Is there an overpass or walkway above?,Yes.,There is an overpass.,There is an overpass above.,"Yes, there is a pedestrian bridge above.",information reading,84.18,urgent
00014,v_00014_21,Is there anything obstructing the road ahead?,Yes.,,,"Yes, someone is ahead.",information reading,87,urgent
00015,v_00015_1,Am I holding the pot properly to avoid spilling hot water?,Yes.,,,,safety warnings,1.98,urgent
00015,v_00015_2,Am I facing the stove now?,Yes.,,,"Yes, but turn a little to the left to reach the stove.",information reading,1.98,urgent
00015,v_00015_3,How do I turn on the stove?,Turn the knob on the front of the stove clockwise until you feel a click.,By clock in the switch button on the stove.,Rotate the button below.,Turn the switch to the left.,tool use,1.98,urgent
00015,v_00015_4,Which pot should I use for cooking these dumplings?,It's the pot on the left.,Use the hand in front of you.,Both pots in front can be used.,The pot next to the starting position of the pot in my hand seems to be more suitable for cooking dumplings.,information reading,1.98,not_urgent
00016,v_00016_1,"Is it safe to stir the dumplings now, or is the water boiling too vigorously?","Yes, it is safe.","Also, currently stirring is safe, and currently the water is not boiling violently.","It can be stirred, but the water hasn't boiled yet.","Relatively safe, the water did not boil too much and splash out.",safety warnings,1.98,urgent
00016,v_00016_2,Is the stove area clear of any obstacles that might cause an accident?,Yes.,,No other obstacles.,"Relatively safe, there are no obstacles, please pay attention to the pot placed on the right.",safety warnings,4.98,urgent
00016,v_00016_3,Are the dumplings cooked?,I don't know.,"I don't know, it's probably not ripe yet.",Yes.,,information reading,1.98,urgent
00017,v_00017_1,Has the water started boiling yet?,Yes.,,,Slightly boiling.,resource acquisition and others,12.99,urgent
00017,v_00017_2,Where is the kitchen sink?,I don't know.,On the right.,,Turn right and walk a few steps towards the wall facing the stove.,resource acquisition and others,15,urgent
00017,v_00017_3,Is anything on the stove about to boil over?,Yes.,"Yes, there are dumplings.",Water in the pot.,The water seems to be about to boil.,information reading,9.99,urgent
00017,v_00017_4,Is the pot on the stove boiling too vigorously?,No.,,,,information reading,21,urgent
00017,v_00017_5,Is the soup boiling yet?,Yes.,,,It seems to be only slightly boiling.,information reading,18.99,urgent
00018,v_00018_1,Am I too close to the stove while handling the dumplings?,No.,,,"Not very close, safe distance.",safety warnings,6,urgent
00018,v_00018_2,Is there any boiling water that can splash and burn me while removing the dumplings?,Yes.,"Yes, it's easy to happen when removing dumplings.",,"Yes, but the water hasn't fully boiled.",safety warnings,12.99,urgent
00019,v_00019_1,Is there a risk of tripping around the kitchen counter?,No.,"I don't know, I can't judge.",,,safety warnings,21,urgent
00019,v_00019_2,Am I holding the bowl securely with my other hand?,Yes.,"Yes, but only one hand was used, and the other hand was holding chopsticks.",,"Yes, but I didn't hold the bottom of the bowl, be careful not to slip.",tool use,18.99,urgent
00020,v_00020_1,Is the sink area clear of any sharp objects that I might accidentally touch?,Yes.,"Yes, there are some kitchen utensils and knives hanging in the front left, which are relatively sharp.",There are scissors hanging on the wall in front of you.,I don't know.,safety warnings,3,urgent
00020,v_00020_2,Where is the detergent bottle?,"On the right of the sink, in front of you.",A little in front of the right hand.,On the right side of the faucet.,On the right side of the faucet against the wall.,resource acquisition and others,3,not_urgent
00020,v_00020_3,Which side of the faucet provides hot water?,The left.,I don't know.,,Not sure.,information reading,0.99,urgent
00021,v_00021_1,Where's the lid?,"The lid is on the left side of the pool, about 30cm in front of you.","On the left side of the pool, cover the dumpling bag.",On the left.,On the left side of the sink.,local navigation and positioning,48.99,urgent
00021,v_00021_2,Where is the burner?,In front of you at 11 o'clock.,Just ahead.,In front left.,Some distance to the left is the stove.,resource acquisition and others,15,urgent
00021,v_00021_3,Is the pot properly centered on the burner?,Yes.,,,,tool use,30.99,urgent
00021,v_00021_4,if there enough water in the pot?,Yes.,,,"Yes, not very full, just right.",information reading,9,urgent
00021,v_00021_5,if the pot is centered on the burner?,The pot is centered and in the correct place on the burner.,"The pot that has been placed on the right has been centered, but the one in hand has not been put down yet.",Yes.,,information reading,18.99,urgent
00021,v_00021_6,Is the stove turned on?,Yes.,,,,information reading,39,urgent
00021,v_00021_7,Is it safe to touch the lid on the stove now?,Yes.,"Yes, currently holding the lid.",,It's best not to touch it. The stove is already on fire and may burn you.,safety warnings,58.27,urgent
00021,v_00021_8,Did I place the lid back on the pot to maintain the temperature?,Yes.,,,,tool use,60.21,not_urgent
00021,v_00021_9,Did I put the lid on the pot correctly?,Yes.,,,,tool use,58.27,urgent
00021,v_00021_10,Is the fire on?,No.,,,,information reading,60.21,urgent
00021,v_00021_11,Am I placing the lid on the pot correctly?,Yes.,,,,information reading,58.27,urgent
00021,v_00021_12,Did I put the lid in the right place?,Yes.,,,,information reading,60.21,urgent
00021,v_00021_13,Is the area around the stove clear of obstacles?,Yes.,,,"Yes, except for a pot placed right next to it.",information reading,60.21,urgent
00022,v_00022_1,Are there any sharp objects or hazards on the counter in front of me?,Yes.,"Yes, the corner of the cabinet door and the props hanging on the table may hurt you.",There are scissors hanging on the wall in the front right.,There are knives hanging in front of the sink.,safety warnings,7.98,urgent
00022,v_00022_2,Is there anything near the sink that I should be cautious of?,Yes.,"Yes, the bottle and hanging kitchen utensils on the left.",There are scissors hanging on the wall in the front right.,There are knives hanging in front of the sink.,safety warnings,16.98,urgent
00022,v_00022_3,Is this bowl in my hand empty?,Yes.,,,,information reading,6.99,not_urgent
00022,v_00022_4,Which cleaning product is near the sink?,Detergent is right in front of the sink.,Dishwashing liquid.,Mr. Mighty.,"A little, there is dishwashing liquid against the wall in front.",information reading,15,not_urgent
00023,v_00023_1,Are there any open flames or hot surfaces nearby?,No.,"I don't know, you can't tell from the video.",,,safety warnings,18.99,urgent
00023,v_00023_2,Where is the trash can?,I don't know.,"I don't know, you can't tell from the video.",,"Not found, the sink is on the right.",resource acquisition and others,9,not_urgent
00024,v_00024_1,Is the oven or stove top currently in use and posing any risks?,No.,"I don't know, but the stove on the right should be on.","No, they're not in use and pose no risk.",No.,safety warnings,12.99,urgent
00024,v_00024_2,Did I put the dumplings in the bowl?,Yes.,,,,information reading,4.98,not_urgent
00025,v_00025_1,Where's the pot?,2m directly in front of you.,On the right side.,Directly in front of you.,A few steps to the right is the pot boiling water.,local navigation and positioning,63,urgent
00025,v_00025_2,Where is the scissors?,Placed in a container for storing knives.,Hands on.,In the shelf directly in front.,Scissors hang in front of the sink.,resource acquisition and others,46.98,not_urgent
00025,v_00025_3,Where is the refrigerator?,It's in front of you.,Directly ahead.,In front left.,"On the left side of the stove, opposite the sink.",resource acquisition and others,15,not_urgent
00025,v_00025_4,How to open the faucet?,Pull out the handle below.,Pull the switch inward with your hand.,Pull the handle inward or rotate the handle to the right.,Turn the switch down.,tool use,51.42,not_urgent
00025,v_00025_5,if the freezer is open?,Yes.,,,,information reading,18.99,urgent
00026,v_00026_1,Is it safe to approach the stove now?,Yes.,"Yes, but be careful.",,"Yes, the lid has been removed.",safety warnings,9.99,urgent
00026,v_00026_2,Are there any sharp utensils nearby that I should be aware of?,No.,"Night market, kitchen utensils and knives hanging in front right.",,There are knives hanging below the wall in front of the sink.,safety warnings,21,urgent
00026,v_00026_3,Have I poured all the dumplings in?,Yes.,,,,information reading,9,urgent
00026,v_00026_4,How to serve dumplings?,Move the lid a little to the right and pour the bowl into the pot along the lid.,Pour all the dumplings down.,"After picking up the lid with your right hand, stretch your left hand forward and pour the dumplings into the pot.",Pour into a pot of boiling water.,tool use,2,urgent
00026,v_00026_5,Did I add all the dumplings to the pot ?,Yes.,,,,information reading,18.99,urgent
00027,v_00027_1,Is my companion guiding me towards the platform?,Yes.,,I can't see your companion.,,communication and interaction,15,not_urgent
00027,v_00027_2,Is it safe to walk towards the train now?,Yes.,,,,safety warnings,15,urgent
00027,v_00027_3,Where is the nearest train boarding gate from here?,I don't know.,Let your companion accompany you straight ahead.,"After walking straight ahead for a distance, the train is on your left.",,local navigation and positioning,6.99,urgent
00027,v_00027_4,Where is the closest bench for me to sit on this platform?,It is on your right.,I don't know.,In front right.,,resource acquisition and others,15,not_urgent
00027,v_00027_5,Is there any train approaching on the platform?,Yes.,,,,information reading,6.99,urgent
00027,v_00027_6,Is there a train approaching?,Yes.,,,,information reading,15,urgent
00027,v_00027_7,What is in front of me?,Nothing but a high-speed train on your front-left.,Nothing.,There is nothing in front of you.,,information reading,15,urgent
00028,v_00028_1,Is it safe to step out of the vehicle now?,Yes.,,,,safety warnings,9.99,urgent
00028,v_00028_2,Is there any obstruction I need to be aware of as I walk?,No.,There is a pillar a little further to the left.,,,safety warnings,21,urgent
00028,v_00028_3,Where is the platform?,I don't know.,,You're on the platform.,,local navigation and positioning,18.99,urgent
00028,v_00028_4,Am I facing the train door right now?,Yes.,,,,information reading,9,urgent
00029,v_00029_1,Is there any obstacle or dangerous item in my path?,I don't know.,You have sat down and there are no obstacles or hazards in sight.,There is a pole in front of you.,,safety warnings,7.98,urgent
00029,v_00029_2,Is it safe for me to hold onto this pole?,Yes.,,,,safety warnings,16.98,urgent
00030,v_00030_1,Am I holding onto the right support for boarding the train?,I don't know.,Yes.,,,information reading,10.98,urgent
00031,v_00031_1,Is it safe for me to enter the vehicle now?,Yes.,,,,safety warnings,6.99,urgent
00031,v_00031_2,Where is my correct cabin and seat?,I don't know.,Asked the flight attendant.,"I don't know, but you can ask the flight attendant in front of you.",,resource acquisition and others,15,urgent
00032,v_00032_1,Is the station staff guiding me onto the train?,Yes.,,,,communication and interaction,4.98,urgent
00032,v_00032_2,Is it safe to board the train now?,No.,,"No, the train has not arriven yet.",,safety warnings,4.98,urgent
00032,v_00032_3,Is there any obstacle in front of me before I board the train?,No.,,,,safety warnings,10.98,urgent
00033,v_00033_1,Is there any obstruction directly in front of me?,Yes.,There is a staff member in front.,,,safety warnings,9.99,urgent
00033,v_00033_2,Is there any moving traffic around that I should be cautious of?,No.,,,,safety warnings,21,urgent
00033,v_00033_3,Is there anything on the ground that I might trip over?,No.,,,,safety warnings,31.98,urgent
00033,v_00033_4,Is the entrance to the waiting area straight ahead?,Yes.,I don't know.,,,information reading,30.99,urgent
00033,v_00033_5,How do I find the waiting area?,I don't know.,Under the guidance of the staff.,Follow the staff in front of you.,,information reading,28.98,urgent
00033,v_00033_6,Where am I right now?,A train station entrance.,At the entrance security checkpoint.,Train station.,,information reading,39,not_urgent
00034,v_00034_1,Is my companion beside me?,"Yes,he is in front of you.",I don't know.,"I don't know, there is a man in white and black pants in front of you, he may be your companion.",,communication and interaction,27,urgent
00034,v_00034_2,Is it safe to exit the taxi now?,Yes.,,,,safety warnings,9.99,urgent
00034,v_00034_3,Is there enough space for me to navigate safely?,Yes.,,,,safety warnings,31.98,urgent
00034,v_00034_4,Is it safe to cross the road now?,No.,,"No, there are taxis crossing the road.",,safety warnings,42.99,urgent
00034,v_00034_5,Which direction should I go to enter the train station?,You should go straight ahead.,You need to cross the road railing before entering the station.,"Walk a distance to the right to reach the gap in the railing, then go straight through the gap.",,local navigation and positioning,15,urgent
00034,v_00034_6,Where am I heading?,The train station.,Railway station.,You are facing the inside door of the taxi on the right rear.,,information reading,9,urgent
00034,v_00034_7,Is this my taxi?,Yes.,I don't know.,,,information reading,18.99,urgent
00034,v_00034_8,Have we reached the train station?,Yes.,,It's in front of you.,,information reading,39,not_urgent
00034,v_00034_9,Is this the main entrance of the train station?,Yes.,,,,information reading,48.99,not_urgent
00034,v_00034_10,Are there any roadblocks or steps ahead of me?,Yes.,There are steps ahead.,There're steps ahead of you.,,safety warnings,148.11,urgent
00034,v_00034_11,Is there any traffic passing by as I approach the entrance?,No.,,,,safety warnings,157.04,urgent
00034,v_00034_12,Is the path clear for me to walk straight to the door?,Yes.,,,,safety warnings,170.25,urgent
00034,v_00034_13,How close am I to the entrance now?,Just a few steps away.,About one hundred meters.,Twenty or thirty meters.,,local navigation and positioning,160.24,urgent
00034,v_00034_14,Am I facing the entrance of the station?,Yes.,,,,information reading,15,urgent
00034,v_00034_15,Is there a clear path to the entrance?,Yes.,There is a flight of stairs before entering the station.,,,information reading,81,urgent
00034,v_00034_16,How many steps are there to reach the entrance?,There are about 15 steps to reach the entrance.,I don't know.,About 20.,,information reading,114,urgent
00034,v_00034_17,What am I standing in front of?,A large building with a big screen.,Main entrance of the train station.,The station.,,information reading,101.03,urgent
00034,v_00034_18,Am I facing the entrance of the building?,Yes.,,,,information reading,144.15,urgent
00035,v_00035_1,Are there any roadblocks ahead on the sidewalk?,No.,,,,safety warnings,54,urgent
00035,v_00035_2,Is there any tree or obstacle directly in front?,Yes.,There is a tree in front of you on the right.,There is a tree in the right front.,,safety warnings,64.98,urgent
00035,v_00035_3,Can I continue walking straight without bumping into anything?,Yes.,,,,safety warnings,75.99,urgent
00035,v_00035_4,How far ahead is the intersection?,I don't know.,,,,information reading,15,urgent
00035,v_00035_5,Am I on the correct path towards the main street?,I don't know.,Yes.,,,information reading,78.99,not_urgent
00035,v_00035_6,Can I continue walking straight ahead?,Yes.,"Yes, but notice that there is a bicycle in front of you on the right.",,,information reading,46.98,urgent
00035,v_00035_7,Is the sidewalk clear for me to continue walking?,Yes.,,,,information reading,78.99,urgent
00036,v_00036_1,Is the sidewalk clear for me to walk safely?,No.,"No, there are many pedestrians ahead.",,,safety warnings,141.99,urgent
00036,v_00036_2,Are there any obstacles or people blocking my way ahead?,Yes.,"Yes, there are some pedestrians ahead.",Ther is a people blocking your way ahead.,,safety warnings,153,urgent
00036,v_00036_3,Is it safe to stand here to hail a taxi?,Yes.,,,,safety warnings,163.98,urgent
00036,v_00036_4,Am I heading towards the main street intersection?,I don't know.,Yes.,,,local navigation and positioning,94.98,not_urgent
00036,v_00036_5,Am I heading towards the bus stop?,I don't know.,,,,information reading,63,urgent
00036,v_00036_6,Is there someone in front of me?,Yes.,,,,information reading,159,urgent
00036,v_00036_7,Are there any obstacles ahead on the sidewalk?,"Yes, there are some small posts and a person walking towards you.",There are pedestrians ahead.,Yes.,,information reading,18.99,urgent
00036,v_00036_8,Is there a crosswalk nearby to my right?,I don't know.,No.,,,information reading,111,urgent
00036,v_00036_9,Is there a clear path ahead of me?,Yes.,,,,information reading,78.99,urgent
00037,v_00037_1,Am I at the security checkpoint now?,Yes.,,,,information reading,3.99,urgent
00038,v_00038_1,Is anyone in front of me in the hall?,"Yes,two people.",Yes.,,,resource acquisition and others,6.99,urgent
00038,v_00038_2,Where is the seating area?,Keep going straight ahead about 5 steps and then turn left .,I do not know.,I don't know.,,resource acquisition and others,6.99,urgent
00038,v_00038_3,Am I heading in the direction of the train door?,Yes.,,,,information reading,3,urgent
00039,v_00039_1,Where is the nearest information desk?,I don't know.,I do not know.,,,resource acquisition and others,13.98,not_urgent
00039,v_00039_2,Where can I find the nearest restroom?,I don't know.,10 meters to your left.,On my left.,,resource acquisition and others,43.98,not_urgent
00039,v_00039_3,Can you describe the general environment around us?,"Yes,many people around possibly in a train station or airport.",It seems like you are in a spacious waiting hall.,There are many people around me.,,information reading,28.98,not_urgent
00040,v_00040_1,Is it safe for me to cross this intersection?,No.,I do not know.,Unsafe.,,safety warnings,27,urgent
00040,v_00040_2,Is there an obstacle or uneven surface in front?,Yes.,,,,information reading,28.98,urgent
00040,v_00040_3,Is there a clear path ahead for me to follow?,Yes.,,,,information reading,13.98,urgent
00040,v_00040_4,Am I at a bus stop now?,Yes.,,"Yes, I'm at the bus stop.",,information reading,43.98,urgent
00041,v_00041_1,Where is the counter?,In front of you.,It's right in front of you.,In front of me.,,local navigation and positioning,43.98,not_urgent
00041,v_00041_2,Is there a guiding path I should follow in this area?,No.,,,,information reading,13.98,urgent
00042,v_00042_1,Which direction should I go to reach the end of this hallway?,Continue straight ahead.,Go forward.,Go straight ahead.,,local navigation and positioning,16.98,not_urgent
00050,v_00050_1,What is on my left side?,I don't know.,I do not know.,,,information reading,4.98,urgent
00050,v_00050_2,Am I approaching a wall or doorway ahead?,Yes.,"Yes, there is a wall.",,,information reading,10.98,urgent
00072,v_00072_1,Where is the nearest bed from my current position?,It is in front you.,"Directly in front, below.",Directly in front.,,resource acquisition and others,1.98,urgent
